,LSOA,population_per_hectare
1029,E01008239,38.6
1030,E01008218,40.6
1031,E01008220,53.6
1032,E01008221,39.6
1033,E01008225,32.3
1034,E01008227,52.9
1035,E01008184,11.4
1036,E01008185,38.8
1037,E01008188,5.1
1038,E01008278,2.5
1039,E01008189,77.9
1040,E01008190,42.8
1041,E01008191,80.0
1042,E01008192,65.0
1043,E01008217,24.2
1044,E01008183,1.5
1045,E01008186,14.7
1046,E01008187,4.2
1047,E01008196,5.0
1048,E01008222,45.6
1049,E01008223,24.0
1050,E01008224,5.5
1051,E01008226,0.7
1052,E01008172,27.9
1053,E01008173,43.0
1054,E01008174,13.8
1055,E01008175,21.7
1056,E01008176,23.6
1057,E01008162,49.4
1058,E01008164,59.7
1059,E01008166,10.8
1060,E01008168,35.6
1061,E01008163,67.9
1062,E01008203,103.5
1063,E01008205,73.8
1064,E01008294,40.7
1065,E01008306,1.3
1066,E01008307,2.8
1067,E01008308,3.4
1068,E01008311,28.0
1069,E01008312,47.5
1070,E01008313,49.3
1071,E01008309,48.7
1072,E01008352,15.1
1073,E01008357,23.0
1074,E01008358,22.2
1075,E01033550,30.8
1076,E01033551,3.8
1077,E01008336,49.1
1078,E01008337,62.0
1079,E01008338,38.7
1080,E01008339,39.4
1081,E01008340,65.6
1082,E01008341,67.2
1083,E01008342,40.4
1084,E01008293,21.4
1085,E01008456,53.8
1086,E01008457,37.0
1087,E01008458,1.1
1088,E01008459,61.1
1089,E01008460,27.1
1090,E01008351,28.0
1091,E01008354,55.7
1092,E01008418,55.1
1093,E01008420,52.1
1094,E01008422,41.9
1095,E01008424,85.6
1096,E01008353,49.0
1097,E01008355,49.3
1098,E01008356,39.7
1099,E01008378,45.4
1100,E01008419,47.3
1101,E01008421,68.7
1102,E01008423,27.3
1103,E01008317,32.2
1104,E01008319,28.1
1105,E01008320,35.8
1106,E01008321,21.0
1107,E01008322,51.7
1108,E01008323,51.4
1109,E01008295,26.3
1110,E01008374,61.6
1111,E01008375,35.1
1112,E01008376,60.5
1113,E01008377,61.1
1114,E01008379,16.6
1115,E01008380,24.4
1116,E01008296,40.6
1117,E01008297,39.8
1118,E01008298,43.5
1119,E01008299,49.7
1120,E01008314,33.8
1121,E01008315,36.5
1122,E01008316,69.6
1123,E01008318,74.6
1124,E01008363,36.4
1125,E01008365,62.5
1126,E01008366,105.4
1127,E01008369,45.8
1128,E01008371,29.9
1129,E01008372,151.1
1130,E01008373,223.2
1131,E01008400,7.1
1132,E01008401,38.8
1133,E01008402,6.9
1134,E01008403,15.1
1135,E01008404,25.8
1136,E01008405,17.6
1137,E01008443,5.1
1138,E01008324,60.5
1139,E01008325,31.6
1140,E01008326,54.7
1141,E01008327,44.8
1142,E01008328,31.8
1143,E01008329,52.9
1144,E01008330,62.3
1145,E01008300,48.9
1146,E01008450,59.4
1147,E01008451,73.5
1148,E01008452,28.7
1149,E01008367,81.8
1150,E01008368,145.6
1151,E01008370,42.3
1152,E01008409,64.1
1153,E01008411,112.6
1154,E01008303,58.7
1155,E01008359,145.2
1156,E01008360,67.6
1157,E01008361,162.1
1158,E01008362,156.8
1159,E01008364,99.6
1160,E01008343,44.0
1161,E01008344,35.1
1162,E01008345,44.8
1163,E01008346,66.8
1164,E01008347,64.2
1165,E01008348,50.1
1166,E01008349,78.3
1167,E01008350,36.0
1168,E01008430,79.6
1169,E01008431,59.3
1170,E01008433,25.3
1171,E01008434,63.0
1172,E01008435,59.4
1173,E01008436,21.5
1174,E01008381,18.8
1175,E01008382,51.7
1176,E01008383,42.5
1177,E01008384,37.7
1178,E01008385,54.5
1179,E01008386,54.8
1180,E01008387,8.3
1181,E01008396,111.8
1182,E01008398,136.1
1183,E01008449,81.0
1184,E01008453,44.0
1185,E01008455,95.8
1186,E01033556,51.5
1187,E01008406,49.5
